respondent_id,actuarial_credential,age,where_are_you_located,what_type_of_company_do_you_work_for,actuaries_at_my_organization,years_of_experience,year
202100681,FCAS,"(30, 40]",United States,Insurance,"(5, 10]","[5, 10)",2021
202100682,FCAS,"(40, 50]",United States,Insurance,"(25, 50]","[20, Inf)",2021
202100683,FCAS,"(40, 50]",United States,Insurance,"(50, 200]","[20, Inf)",2021
202100684,FCAS,"(30, 40]",United States,Insurance,"(5, 10]","[5, 10)",2021
202100685,ACAS,"(60, Inf)",United States,Reinsurance,"(10, 25]","[20, Inf)",2021
202100686,FCAS,"(30, 40]",United States,Reinsurance,"(25, 50]","[10, 15)",2021
202100687,FCAS,"(40, 50]",United States,Reinsurance,"(5, 10]","[15, 20)",2021
202100688,FCAS,"(50, 60]",United States,Other,"(0, 5]","[20, Inf)",2021
202100689,ACAS,"(40, 50]",United States,Insurance,"(5, 10]","[15, 20)",2021
202100690,ACAS,"(40, 50]",United States,Insurance,"(50, 200]","[20, Inf)",2021
202100691,ACAS,"(60, Inf)",United States,Other,"(0, 5]","[20, Inf)",2021
202100692,FCAS,"(40, 50]",United States,Insurance,"(50, 200]","[15, 20)",2021
202100693,ACAS,"(30, 40]",United States,Reinsurance,"(25, 50]","[5, 10)",2021
202100694,ACAS,"(30, 40]",United States,Consulting,"(0, 5]","[10, 15)",2021
202100695,FCAS,"(0, 30]",Canada,Insurance,"(50, 200]","[5, 10)",2021
202100696,FCAS,"(30, 40]",United States,Broker,"(0, 5]","[15, 20)",2021
202100697,FCAS,"(30, 40]",United States,Insurance,"(50, 200]","[5, 10)",2021
202100698,ACAS,"(30, 40]",United States,Consulting,"(25, 50]","[10, 15)",2021
202100699,FCAS,"(40, 50]",United States,Insurance,"(10, 25]","[15, 20)",2021
202100700,FCAS,"(40, 50]",United States,Insurance,"(0, 5]","[15, 20)",2021
202100701,FCAS,"(30, 40]",United States,Other,"(0, 5]","[10, 15)",2021
202100702,FCAS,"(0, 30]",United States,Insurance,"(0, 5]","[5, 10)",2021
202100703,FCAS,"(40, 50]",United States,Insurance,"(50, 200]","[20, Inf)",2021
202100704,ACAS,"(30, 40]",United States,Insurance,"(25, 50]","[5, 10)",2021
202100705,FCAS,"(50, 60]",United States,Consulting,"(50, 200]","[20, Inf)",2021
202100706,FCAS,"(0, 30]",United States,Insurance,"(200, Inf)","[5, 10)",2021
202100707,FCAS,"(40, 50]",United States,Other,"(0, 5]","[20, Inf)",2021
202100708,FCAS,"(40, 50]",United States,Consulting,"(25, 50]","[20, Inf)",2021
202100709,ACAS,"(50, 60]",United States,Insurance,"(10, 25]","[20, Inf)",2021
202100710,ACAS,"(50, 60]",United States,Insurance,"(0, 5]","[20, Inf)",2021
202100711,FCAS,"(30, 40]",United States,Insurance,"(200, Inf)","[15, 20)",2021
202100712,FCAS,"(0, 30]",Canada,Insurance,"(25, 50]","(0, 5)",2021
202100713,FCAS,"(40, 50]",United States,Insurance,"(0, 5]","[15, 20)",2021
202100714,ACAS,"(30, 40]",United States,Insurance,"(25, 50]","[10, 15)",2021
202100715,FCAS,"(60, Inf)",United States,Consulting,"(10, 25]","[20, Inf)",2021
202100716,FCAS,"(30, 40]",United States,Insurance,"(50, 200]","[5, 10)",2021
202100717,FCAS,"(0, 30]",United States,Consulting,"(5, 10]","[5, 10)",2021
202100718,FCAS,"(50, 60]",United States,Other,"(0, 5]","[20, Inf)",2021
202100719,FCAS,"(40, 50]",Other,Insurance,"(10, 25]","[20, Inf)",2021
202100720,ACAS,"(30, 40]",United States,Insurance,"(25, 50]","[5, 10)",2021
202100721,FCAS,"(50, 60]",United States,Other,"(0, 5]","[20, Inf)",2021
202100722,ACAS,"(30, 40]",United States,Insurance,"(0, 5]","[5, 10)",2021
202100723,FCAS,"(30, 40]",United States,Broker,"(200, Inf)","[5, 10)",2021
202100724,FCAS,"(0, 30]",United States,Broker,"(0, 5]","[5, 10)",2021
202100725,FCAS,"(30, 40]",United States,Consulting,"(25, 50]","[10, 15)",2021
202100726,FCAS,"(0, 30]",United States,Reinsurance,"(5, 10]","(0, 5)",2021
202100727,FCAS,"(0, 30]",United States,Insurance,"(25, 50]","[5, 10)",2021
202100728,FCAS,"(30, 40]",United States,Insurance,"(50, 200]","[10, 15)",2021
202100729,ACAS,"(30, 40]",United States,Insurance,"(0, 5]","[10, 15)",2021
202100730,FCAS,"(40, 50]",United States,Insurance,"(10, 25]","[15, 20)",2021
202100731,ACAS,"(30, 40]",United States,Insurance,"(10, 25]","[5, 10)",2021
202100732,ACAS,"(40, 50]",United States,Reinsurance,"(50, 200]","[20, Inf)",2021
202100733,ACAS,"(30, 40]",United States,Insurance,"(5, 10]","[10, 15)",2021
202100734,FCAS,"(30, 40]",United States,Insurance,"(50, 200]","[10, 15)",2021
202100735,FCAS,"(40, 50]",United States,Consulting,"(0, 5]","[20, Inf)",2021
202100736,FCAS,"(50, 60]",Other,Reinsurance,"(50, 200]","[20, Inf)",2021
202100737,FCAS,"(40, 50]",United States,Insurance,"(50, 200]","[10, 15)",2021
202100738,FCAS,"(40, 50]",United States,Insurance,"(10, 25]","[15, 20)",2021
202100739,ACAS,"(30, 40]",United States,Insurance,"(5, 10]","(0, 5)",2021
202100740,FCAS,"(60, Inf)",United States,Insurance,"(50, 200]","[20, Inf)",2021
202100741,FCAS,"(0, 30]",United States,Insurance,"(10, 25]","[5, 10)",2021
202100742,FCAS,"(30, 40]",United States,Insurance,"(50, 200]","[5, 10)",2021
202100743,FCAS,"(30, 40]",United States,Other,"(0, 5]","[10, 15)",2021
202100744,ACAS,"(0, 30]",United States,Insurance,"(25, 50]","[5, 10)",2021
202100745,FCAS,"(50, 60]",United States,Broker,"(50, 200]","[20, Inf)",2021
202100746,FCAS,"(30, 40]",United States,Insurance,"(5, 10]","[10, 15)",2021
202100747,ACAS,"(0, 30]",United States,Insurance,"(10, 25]","[5, 10)",2021
202100748,FCAS,"(0, 30]",Canada,Insurance,"(50, 200]","[5, 10)",2021
202100749,FCAS,"(30, 40]",United States,Insurance,"(5, 10]","[15, 20)",2021
202100750,FCAS,"(0, 30]",United States,Insurance,"(50, 200]","(0, 5)",2021
202100751,FCAS,"(30, 40]",United States,Insurance,"(50, 200]","[10, 15)",2021
202100752,FCAS,"(50, 60]",United States,Insurance,"(50, 200]","[20, Inf)",2021
202100753,FCAS,"(30, 40]",United States,Broker,"(50, 200]","[15, 20)",2021
202100754,FCAS,"(30, 40]",United States,Consulting,"(0, 5]","[10, 15)",2021
202100755,FCAS,"(0, 30]",United States,Reinsurance,"(50, 200]","[5, 10)",2021
202100756,FCAS,"(40, 50]",United States,Insurance,"(200, Inf)","[20, Inf)",2021
202100757,ACAS,"(50, 60]",United States,Reinsurance,"(10, 25]","[20, Inf)",2021
202100758,FCAS,"(0, 30]",United States,Consulting,"(50, 200]","(0, 5)",2021
202100759,ACAS,"(60, Inf)",United States,Other,"(0, 5]","[20, Inf)",2021
202100760,FCAS,"(0, 30]",United States,Insurance,"(200, Inf)","(0, 5)",2021
202100761,ACAS,"(30, 40]",United States,Insurance,"(10, 25]","[5, 10)",2021
202100762,ACAS,"(30, 40]",United States,Insurance,"(5, 10]","[5, 10)",2021
202100763,FCAS,"(30, 40]",Canada,Broker,"(5, 10]","[10, 15)",2021
202100764,ACAS,"(30, 40]",United States,Insurance,"(200, Inf)","[5, 10)",2021
202100765,FCAS,"(0, 30]",United States,Insurance,"(0, 5]","[5, 10)",2021
202100766,FCAS,"(30, 40]",United States,Insurance,"(5, 10]","[10, 15)",2021
202100767,FCAS,"(30, 40]",United States,Insurance,"(200, Inf)","[10, 15)",2021
202100768,FCAS,"(40, 50]",United States,Insurance,"(50, 200]","[20, Inf)",2021
202100769,FCAS,"(40, 50]",United States,Insurance,"(0, 5]","[20, Inf)",2021
202100770,ACAS,"(50, 60]",United States,Consulting,"(0, 5]","[20, Inf)",2021
202100771,ACAS,"(40, 50]",United States,Insurance,"(5, 10]","[15, 20)",2021
202100772,ACAS,"(40, 50]",United States,Reinsurance,"(50, 200]","[10, 15)",2021
202100773,ACAS,"(50, 60]",United States,Consulting,"(0, 5]","[20, Inf)",2021
202100774,ACAS,"(0, 30]",United States,Insurance,"(10, 25]","[5, 10)",2021
202100775,ACAS,"(40, 50]",Canada,Other,"(5, 10]","[15, 20)",2021
202100776,FCAS,"(50, 60]",United States,Insurance,"(10, 25]","[20, Inf)",2021
202100777,ACAS,"(30, 40]",United States,Insurance,"(200, Inf)","[10, 15)",2021
202100778,FCAS,"(30, 40]",United States,Insurance,"(200, Inf)","[10, 15)",2021
202100779,FCAS,"(30, 40]",United States,Insurance,"(50, 200]","[10, 15)",2021
202100780,ACAS,"(60, Inf)",United States,Insurance,"(0, 5]","[20, Inf)",2021
202100781,FCAS,"(50, 60]",United States,Consulting,"(200, Inf)","[20, Inf)",2021
202100782,FCAS,"(0, 30]",United States,Insurance,"(50, 200]","[5, 10)",2021
202100783,FCAS,"(50, 60]",United States,Reinsurance,"(50, 200]","[20, Inf)",2021
202100784,FCAS,"(30, 40]",United States,Insurance,"(200, Inf)","[10, 15)",2021
202100785,FCAS,"(30, 40]",Canada,Insurance,"(50, 200]","[10, 15)",2021
202100786,ACAS,"(40, 50]",United States,Insurance,"(200, Inf)","[20, Inf)",2021
202100787,FCAS,"(50, 60]",United States,Insurance,"(10, 25]","[15, 20)",2021
202100788,FCAS,"(30, 40]",United States,Insurance,"(50, 200]","[10, 15)",2021
202100789,FCAS,NA,United States,Consulting,NA,NA,2021
202100790,FCAS,"(30, 40]",United States,Insurance,"(0, 5]","[10, 15)",2021
202100791,ACAS,"(60, Inf)",United States,Reinsurance,"(25, 50]","[20, Inf)",2021
202100792,FCAS,"(30, 40]",United States,Insurance,"(10, 25]","[15, 20)",2021
202100793,FCAS,NA,Asia,Insurance,"(0, 5]",NA,2021
202100794,FCAS,"(30, 40]",United States,Insurance,"(50, 200]","[5, 10)",2021
202100795,FCAS,"(0, 30]",Canada,Insurance,"(200, Inf)","[5, 10)",2021
202100796,ACAS,"(30, 40]",United States,Insurance,"(200, Inf)","[5, 10)",2021
202100797,FCAS,"(30, 40]",United States,Consulting,"(0, 5]","[5, 10)",2021
202100798,FCAS,"(60, Inf)",United States,Insurance,"(200, Inf)","[20, Inf)",2021
202100799,FCAS,"(0, 30]",United States,Insurance,"(50, 200]","[5, 10)",2021
202100800,FCAS,"(30, 40]",United States,Insurance,"(50, 200]","[15, 20)",2021
202100801,FCAS,"(30, 40]",United States,Consulting,"(10, 25]","[10, 15)",2021
202100802,FCAS,"(30, 40]",United States,Insurance,"(50, 200]","[10, 15)",2021
202100803,FCAS,"(30, 40]",United States,Consulting,"(50, 200]","[5, 10)",2021
202100804,FCAS,"(0, 30]",United States,Insurance,"(50, 200]","[5, 10)",2021
202100805,ACAS,"(0, 30]",United States,Insurance,"(200, Inf)","[5, 10)",2021
202100806,ACAS,"(30, 40]",United States,Insurance,"(10, 25]","[5, 10)",2021
202100807,ACAS,"(0, 30]",United States,Insurance,"(0, 5]","(0, 5)",2021
202100808,FCAS,"(30, 40]",United States,Insurance,"(0, 5]","[15, 20)",2021
202100809,ACAS,"(50, 60]",United States,Insurance,"(10, 25]","[20, Inf)",2021
202100810,FCAS,"(50, 60]",United States,Insurance,"(200, Inf)","[20, Inf)",2021
202100811,FCAS,"(50, 60]",United States,Other,"(0, 5]","[20, Inf)",2021
202100812,FCAS,"(0, 30]",United States,Insurance,"(5, 10]","[5, 10)",2021
202100813,ACAS,"(40, 50]",United States,Insurance,"(0, 5]","[20, Inf)",2021
202100814,ACAS,"(30, 40]",United States,Consulting,"(10, 25]","[10, 15)",2021
202100815,FCAS,"(40, 50]",United States,Insurance,"(200, Inf)","[15, 20)",2021
202100816,None,"(30, 40]",Canada,Other,"(0, 5]","(0, 5)",2021
202100817,ACAS,"(0, 30]",United States,Insurance,"(25, 50]","[5, 10)",2021
202100818,None,"(0, 30]",United States,Insurance,"(200, Inf)","(0, 5)",2021
202100819,ACAS,"(0, 30]",United States,Insurance,"(200, Inf)","(0, 5)",2021
202100820,ACAS,"(30, 40]",Canada,Insurance,"(50, 200]","[5, 10)",2021
202100821,FCAS,"(30, 40]",United States,Insurance,"(10, 25]","[10, 15)",2021
202100822,ACAS,"(0, 30]",United States,Insurance,"(50, 200]","(0, 5)",2021
202100823,ACAS,"(0, 30]",United States,Insurance,"(50, 200]","(0, 5)",2021
202100824,ACAS,"(40, 50]",United States,Insurance,"(10, 25]","[15, 20)",2021
202100825,ACAS,"(30, 40]",United States,Insurance,"(200, Inf)","[5, 10)",2021
202100826,None,"(0, 30]",United States,Insurance,"(10, 25]","[5, 10)",2021
202100827,FCAS,"(40, 50]",United States,Consulting,"(25, 50]","[20, Inf)",2021
202100828,ACAS,"(40, 50]",United States,Insurance,"(0, 5]","[5, 10)",2021
202100829,ACAS,"(30, 40]",United States,Consulting,"(0, 5]","[5, 10)",2021
202100830,None,"(40, 50]",United States,Insurance,"(5, 10]","[5, 10)",2021
202100831,ACAS,"(0, 30]",United States,Insurance,"(200, Inf)","[5, 10)",2021
202100832,ACAS,"(30, 40]",United States,Insurance,"(50, 200]","[5, 10)",2021
202100833,ACAS,NA,United States,Insurance,"(0, 5]","[10, 15)",2021
202100834,ACAS,"(0, 30]",United States,Insurance,"(200, Inf)","[5, 10)",2021
202100835,None,"(30, 40]",United States,Insurance,"(200, Inf)","[5, 10)",2021
202100836,ACAS,"(0, 30]",United States,NA,"(50, 200]","[5, 10)",2021
202100837,ACAS,"(0, 30]",United States,Insurance,"(10, 25]","[5, 10)",2021
202100838,ACAS,"(50, 60]",United States,Insurance,"(5, 10]","[20, Inf)",2021
202100839,None,"(0, 30]",United States,Insurance,"(0, 5]","(0, 5)",2021
202100840,ACAS,"(0, 30]",United States,Insurance,"(25, 50]","(0, 5)",2021
202100841,ACAS,"(0, 30]",United States,Consulting,"(50, 200]","(0, 5)",2021
202100842,None,"(0, 30]",Canada,Insurance,"(10, 25]","(0, 5)",2021
202100843,None,"(0, 30]",United States,Insurance,"(25, 50]","(0, 5)",2021
202100844,None,"(0, 30]",Other,Insurance,"(0, 5]","(0, 5)",2021
202100845,None,"(30, 40]",United States,Other,"(10, 25]","[5, 10)",2021
202100846,None,"(0, 30]",United States,Insurance,"(5, 10]","(0, 5)",2021
202100847,None,"(0, 30]",United States,Insurance,"(0, 5]","(0, 5)",2021
202100848,None,"(0, 30]",United States,Broker,"(10, 25]","(0, 5)",2021
202100849,None,"(0, 30]",United States,Insurance,"(25, 50]","[5, 10)",2021
202100850,ACAS,"(0, 30]",United States,Consulting,"(25, 50]","[5, 10)",2021
202100851,None,"(30, 40]",Other,Insurance,"(0, 5]","[5, 10)",2021
202100852,ACAS,"(30, 40]",United States,Insurance,"(50, 200]","[10, 15)",2021
202100853,None,"(50, 60]",United States,Insurance,"(5, 10]","[20, Inf)",2021
202100854,FCAS,"(50, 60]",United States,Insurance,"(50, 200]","[20, Inf)",2021
202100855,ACAS,"(40, 50]",Canada,Insurance,"(0, 5]","[10, 15)",2021
202100856,ACAS,"(40, 50]",United States,Reinsurance,"(10, 25]","[10, 15)",2021
202100857,None,"(0, 30]",United States,Insurance,"(50, 200]","[5, 10)",2021
202100858,ACAS,"(0, 30]",United States,Broker,"(10, 25]","[5, 10)",2021
202100859,ACAS,"(0, 30]",United States,Insurance,"(200, Inf)","[5, 10)",2021
202100860,None,"(0, 30]",United States,Reinsurance,"(10, 25]","(0, 5)",2021
202100861,None,"(0, 30]",United States,Insurance,"(25, 50]","[5, 10)",2021
202100862,None,"(0, 30]",United States,Consulting,"(10, 25]","(0, 5)",2021
202100863,None,"(30, 40]",United States,Insurance,"(5, 10]","[10, 15)",2021
202100864,ACAS,"(40, 50]",United States,Insurance,"(5, 10]","[10, 15)",2021
202100865,None,"(0, 30]",NA,Other,"(50, 200]","(0, 5)",2021
202100866,None,"(30, 40]",United States,Insurance,"(50, 200]","[5, 10)",2021
202100867,None,"(0, 30]",United States,Insurance,"(200, Inf)","(0, 5)",2021
202100868,None,"(0, 30]",United States,Insurance,"(5, 10]","(0, 5)",2021
202100869,None,"(0, 30]",United States,Insurance,"(25, 50]","(0, 5)",2021
202100870,None,"(0, 30]",Canada,Insurance,"(50, 200]","(0, 5)",2021
202100871,None,"(0, 30]",Asia,NA,"(0, 5]","(0, 5)",2021
202100872,ACAS,"(0, 30]",United States,Consulting,"(25, 50]","[5, 10)",2021
202100873,ACAS,"(30, 40]",United States,Reinsurance,"(0, 5]","[5, 10)",2021
202100874,None,"(0, 30]",United States,Consulting,"(200, Inf)","(0, 5)",2021
202100875,ACAS,"(30, 40]",Canada,Insurance,"(0, 5]","[5, 10)",2021
202100876,ACAS,"(40, 50]",United States,Insurance,"(200, Inf)","[15, 20)",2021
202100877,None,"(30, 40]",Asia,Reinsurance,"(0, 5]","(0, 5)",2021
202100878,ACAS,"(30, 40]",United States,Insurance,"(10, 25]","[10, 15)",2021
202100879,None,"(0, 30]",Asia,Insurance,"(0, 5]","(0, 5)",2021
202100880,ACAS,"(0, 30]",United States,Reinsurance,"(5, 10]","[5, 10)",2021
202100881,None,"(0, 30]",Asia,Reinsurance,"(0, 5]","(0, 5)",2021
202100882,None,"(30, 40]",Other,Insurance,"(0, 5]","[5, 10)",2021
202100883,ACAS,"(0, 30]",United States,Consulting,"(5, 10]","[5, 10)",2021
202100884,None,"(0, 30]",United States,Insurance,"(25, 50]","[5, 10)",2021
202100885,ACAS,"(0, 30]",United States,Insurance,"(10, 25]","(0, 5)",2021
202100886,None,"(0, 30]",United States,Insurance,"(50, 200]","(0, 5)",2021
202100887,ACAS,"(40, 50]",United States,Insurance,"(50, 200]","[5, 10)",2021
202100888,ACAS,"(0, 30]",United States,Insurance,"(25, 50]","[5, 10)",2021
202100889,ACAS,"(0, 30]",United States,Insurance,"(10, 25]","[5, 10)",2021
202100890,ACAS,"(0, 30]",United States,Insurance,"(25, 50]","(0, 5)",2021
202100891,None,"(30, 40]",Other,Reinsurance,"(0, 5]","(0, 5)",2021
202100892,None,"(30, 40]",United States,Insurance,"(0, 5]","[5, 10)",2021
202100893,FCAS,"(50, 60]",United States,Insurance,"(5, 10]","[20, Inf)",2021
202100894,ACAS,"(0, 30]",United States,Insurance,"(50, 200]","(0, 5)",2021
202100895,None,"(30, 40]",Canada,Insurance,"(50, 200]","(0, 5)",2021
202100896,ACAS,"(0, 30]",United States,Insurance,"(10, 25]","(0, 5)",2021
202100897,None,"(0, 30]",United States,Insurance,"(10, 25]","(0, 5)",2021
202100898,ACAS,"(0, 30]",United States,Insurance,"(25, 50]","(0, 5)",2021
202100899,ACAS,"(30, 40]",Canada,Insurance,"(25, 50]","[10, 15)",2021
202100900,ACAS,"(30, 40]",United States,Insurance,"(5, 10]","[10, 15)",2021
202100901,ACAS,"(30, 40]",United States,Consulting,"(0, 5]","[5, 10)",2021
202100902,ACAS,"(40, 50]",United States,Insurance,"(50, 200]","[5, 10)",2021
202100903,ACAS,"(0, 30]",United States,Insurance,"(200, Inf)","[5, 10)",2021
202100904,None,"(0, 30]",United States,Insurance,"(200, Inf)","(0, 5)",2021
202100905,None,"(0, 30]",United States,Broker,"(0, 5]","(0, 5)",2021
202100906,ACAS,"(30, 40]",United States,Insurance,"(10, 25]","[10, 15)",2021
202100907,None,"(30, 40]",United States,Insurance,"(5, 10]","(0, 5)",2021
202100908,ACAS,"(0, 30]",United States,Insurance,"(200, Inf)","(0, 5)",2021
202100909,None,"(0, 30]",United States,Insurance,"(25, 50]","[5, 10)",2021
202100910,None,"(30, 40]",United States,Consulting,"(0, 5]","[10, 15)",2021
202100911,None,"(0, 30]",United States,Insurance,"(0, 5]","[5, 10)",2021
202100912,None,"(0, 30]",United States,Insurance,"(10, 25]","(0, 5)",2021
202100913,ACAS,"(30, 40]",United States,Insurance,"(10, 25]","[5, 10)",2021
202100914,ACAS,"(40, 50]",United States,Consulting,"(0, 5]","[5, 10)",2021
202100915,ACAS,"(0, 30]",United States,Insurance,"(5, 10]","[5, 10)",2021
202100916,ACAS,"(0, 30]",United States,Insurance,"(5, 10]","(0, 5)",2021
202100917,ACAS,"(50, 60]",United States,Insurance,"(50, 200]","[20, Inf)",2021
202100918,ACAS,"(0, 30]",United States,Insurance,"(50, 200]","[5, 10)",2021
202100919,None,"(0, 30]",United States,Consulting,"(10, 25]","(0, 5)",2021
202100920,ACAS,"(0, 30]",United States,Broker,"(25, 50]","[5, 10)",2021
202100921,ACAS,"(0, 30]",United States,Insurance,"(50, 200]","[5, 10)",2021
202100922,ACAS,"(0, 30]",Asia,Insurance,"(0, 5]","[5, 10)",2021
202100923,None,"(0, 30]",United States,Broker,"(25, 50]","(0, 5)",2021
202100924,ACAS,"(0, 30]",United States,Insurance,"(50, 200]","[5, 10)",2021
202100925,ACAS,"(0, 30]",United States,Insurance,"(50, 200]","[5, 10)",2021
202100926,None,"(30, 40]",Other,Insurance,"(0, 5]","[5, 10)",2021
202100927,None,"(30, 40]",United States,Insurance,"(10, 25]","[5, 10)",2021
202100928,ACAS,"(30, 40]",United States,Insurance,"(5, 10]","[5, 10)",2021
202100929,None,"(0, 30]",Other,Insurance,"(10, 25]","(0, 5)",2021
202100930,ACAS,"(0, 30]",United States,Consulting,"(50, 200]","(0, 5)",2021
202100931,None,"(0, 30]",United States,Insurance,"(0, 5]","(0, 5)",2021
202100932,ACAS,"(0, 30]",United States,Insurance,"(50, 200]","[5, 10)",2021
202100933,None,"(0, 30]",United States,Insurance,"(10, 25]","(0, 5)",2021
202100934,ACAS,"(40, 50]",United States,Reinsurance,"(0, 5]","[15, 20)",2021
202100935,None,"(0, 30]",United States,Insurance,"(50, 200]","(0, 5)",2021
202100936,None,"(0, 30]",United States,Insurance,"(0, 5]","(0, 5)",2021
202100937,None,"(0, 30]",United States,Insurance,"(50, 200]","(0, 5)",2021
202100938,None,"(0, 30]",United States,Insurance,"(0, 5]","[5, 10)",2021
202100939,ACAS,"(0, 30]",United States,Insurance,"(200, Inf)","[5, 10)",2021
202100940,None,"(0, 30]",United States,Insurance,"(50, 200]","(0, 5)",2021
202100941,None,"(30, 40]",United States,Insurance,"(50, 200]","(0, 5)",2021
202100942,None,"(0, 30]",United States,Insurance,"(0, 5]","[5, 10)",2021
202100943,ACAS,"(30, 40]",United States,Insurance,"(50, 200]","[10, 15)",2021
202100944,None,"(0, 30]",United States,Insurance,"(200, Inf)","[5, 10)",2021
202100945,None,"(0, 30]",United States,Insurance,"(50, 200]","(0, 5)",2021
202100946,ACAS,"(30, 40]",United States,Insurance,"(200, Inf)","[5, 10)",2021
202100947,None,"(0, 30]",Canada,Insurance,"(50, 200]","(0, 5)",2021
202100948,ACAS,"(0, 30]",United States,Insurance,"(50, 200]","[5, 10)",2021
202100949,ACAS,"(0, 30]",United States,Insurance,"(200, Inf)","[5, 10)",2021
202100950,None,"(30, 40]",United States,Insurance,"(50, 200]","(0, 5)",2021
202100951,ACAS,"(30, 40]",United States,Other,"(0, 5]","[5, 10)",2021
202100952,None,"(30, 40]",United States,Insurance,"(50, 200]","[5, 10)",2021
202100953,ACAS,"(30, 40]",United States,Other,"(0, 5]","[5, 10)",2021
202100954,ACAS,"(30, 40]",United States,Insurance,"(25, 50]","[5, 10)",2021
202100955,None,NA,United States,Insurance,NA,"(0, 5)",2021
202100956,None,"(30, 40]",United States,Insurance,"(50, 200]","[5, 10)",2021
202100957,None,"(0, 30]",United States,Insurance,"(5, 10]","(0, 5)",2021
202100958,None,"(30, 40]",United States,Other,"(25, 50]","[5, 10)",2021
202100959,None,"(0, 30]",United States,Insurance,"(25, 50]","[5, 10)",2021
202100960,ACAS,"(0, 30]",United States,NA,"(25, 50]","(0, 5)",2021
202100961,ACAS,"(30, 40]",United States,Consulting,"(5, 10]","(0, 5)",2021
202100962,ACAS,"(0, 30]",United States,Insurance,"(10, 25]","[5, 10)",2021
202100963,ACAS,"(0, 30]",United States,Insurance,"(0, 5]","[5, 10)",2021
202100964,None,"(0, 30]",United States,Insurance,"(50, 200]","(0, 5)",2021
202100965,None,"(0, 30]",United States,Consulting,"(25, 50]","(0, 5)",2021
202100966,None,"(30, 40]",United States,Insurance,"(25, 50]","(0, 5)",2021
202100967,ACAS,"(30, 40]",United States,Insurance,"(0, 5]","[10, 15)",2021
202100968,None,"(0, 30]",Canada,Insurance,"(50, 200]","(0, 5)",2021
202100969,ACAS,"(0, 30]",United States,Consulting,"(50, 200]","[5, 10)",2021
202100970,None,"(0, 30]",United States,Insurance,"(0, 5]","(0, 5)",2021
202100971,None,"(30, 40]",United States,Insurance,"(10, 25]","(0, 5)",2021
202100972,ACAS,"(30, 40]",United States,Insurance,"(5, 10]","[5, 10)",2021
202100973,ACAS,"(30, 40]",United States,Insurance,"(50, 200]","(0, 5)",2021
202100974,None,"(0, 30]",Canada,Insurance,"(0, 5]","(0, 5)",2021
202100975,None,"(0, 30]",United States,Insurance,"(0, 5]","(0, 5)",2021
202100976,None,"(0, 30]",Canada,Insurance,"(10, 25]","(0, 5)",2021
202100977,None,"(0, 30]",United States,Insurance,"(0, 5]","(0, 5)",2021
202100978,None,"(0, 30]",United States,Insurance,"(200, Inf)","[5, 10)",2021
202100979,ACAS,"(30, 40]",United States,Consulting,"(50, 200]","[10, 15)",2021
202100980,None,"(30, 40]",United States,Insurance,"(0, 5]","[5, 10)",2021
202100981,None,"(0, 30]",United States,Insurance,"(25, 50]","(0, 5)",2021
202100982,ACAS,"(0, 30]",United States,Insurance,"(50, 200]","(0, 5)",2021
202100983,ACAS,"(30, 40]",Canada,Insurance,"(10, 25]","(0, 5)",2021
202100984,FCAS,"(30, 40]",United States,Reinsurance,"(0, 5]","[15, 20)",2021
202100985,None,"(0, 30]",United States,Insurance,"(50, 200]","(0, 5)",2021
202100986,ACAS,"(0, 30]",United States,Insurance,"(0, 5]","(0, 5)",2021
202100987,ACAS,"(0, 30]",United States,Consulting,"(25, 50]","(0, 5)",2021
202100988,None,"(0, 30]",United States,Broker,"(50, 200]","(0, 5)",2021
202100989,None,"(0, 30]",United States,Insurance,"(50, 200]","(0, 5)",2021
202100990,ACAS,"(30, 40]",United States,Insurance,"(5, 10]","[10, 15)",2021
202100991,None,"(30, 40]",United States,Insurance,"(25, 50]","(0, 5)",2021
202100992,ACAS,"(40, 50]",United States,Insurance,"(0, 5]","[5, 10)",2021
202100993,ACAS,"(0, 30]",United States,Insurance,"(25, 50]","(0, 5)",2021
202100994,None,"(0, 30]",United States,Insurance,"(200, Inf)","(0, 5)",2021
202100995,ACAS,"(0, 30]",United States,Insurance,"(10, 25]","[5, 10)",2021
202100996,None,"(0, 30]",United States,Insurance,"(200, Inf)","(0, 5)",2021
202100997,None,"(0, 30]",United States,Insurance,"(200, Inf)","(0, 5)",2021
202100998,None,"(0, 30]",United States,Insurance,"(25, 50]","(0, 5)",2021
202100999,None,"(0, 30]",United States,Insurance,"(50, 200]","(0, 5)",2021
202101000,None,"(0, 30]",United States,Consulting,"(5, 10]","(0, 5)",2021
202101001,ACAS,"(0, 30]",United States,Other,"(5, 10]","[5, 10)",2021
202101002,None,"(0, 30]",United States,Insurance,"(200, Inf)","(0, 5)",2021
202101003,None,"(0, 30]",Canada,Consulting,"(10, 25]","(0, 5)",2021
202101004,None,"(30, 40]",United States,Insurance,"(0, 5]","[10, 15)",2021
202101005,ACAS,NA,United States,Insurance,"(10, 25]","[5, 10)",2021
202101006,None,"(0, 30]",United States,Insurance,"(50, 200]","(0, 5)",2021
202101007,ACAS,"(40, 50]",United States,Other,"(200, Inf)","[5, 10)",2021
202101008,None,"(0, 30]",United States,Consulting,"(10, 25]","(0, 5)",2021
202101009,ACAS,"(30, 40]",United States,Insurance,"(50, 200]","[5, 10)",2021
